SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
20MICRONS, EQ, 08-Aug-2022,108.1,109.45,115.45,108.7,110.85,111.15,112.1,1687369,1891.62,21649,571768,33.89
21STCENMGM, EQ, 08-Aug-2022,24.3,24.3,24.75,24.3,24.75,24.75,24.5,1344,0.33,14,1344,100
3IINFOLTD, EQ, 08-Aug-2022,40.85,41.0,42.2,40.75,41.25,41.2,41.55,428679,178.11,3417,269335,62.83
3MINDIA, EQ, 08-Aug-2022,23702.25,23702.25,24100.0,23135.0,23835.0,23726.05,23862.06,2383,568.63,1299,943,39.57
3PLAND, EQ, 08-Aug-2022,15.1,14.8,15.85,14.8,15.4,14.95,15.24,4097,0.62,55,2671,65.19
5PAISA, EQ, 08-Aug-2022,281.05,273.35,279.95,273.35,279.45,279.15,277.85,11121,30.9,383,7171,64.48
63MOONS, EQ, 08-Aug-2022,188.25,184.4,195.9,184.4,186.0,187.15,189.95,80129,152.2,2420,41988,52.4
654GS2032, GS, 08-Aug-2022,95.17,95.45,95.45,95.0,95.15,95.02,95.11,2555,2.43,12,2555,100
667GS2050, GS, 08-Aug-2022,93.0,93.29,93.29,90.12,92.99,92.99,92.53,469,0.43,11,370,78.89
669GS2024, GS, 08-Aug-2022,101.0,101.0,101.0,101.0,101.0,101.0,101.0,100,0.1,1,100,100
676GS2061, GS, 08-Aug-2022,95.9,95.4,95.4,95.4,95.4,95.4,95.4,2340,2.23,2,2340,100
695GS2061, GS, 08-Aug-2022,93.17,97.0,97.0,96.0,97.0,97.0,96.67,3,0.0,3,1,33.33
699GS2051, GS, 08-Aug-2022,94.99,98.0,98.0,94.97,94.97,94.97,96.04,72,0.07,6,71,98.61
710GS2029, GS, 08-Aug-2022,101.4,101.81,101.81,101.81,101.81,101.81,101.81,18000,18.33,1,18000,100
754GS2036, GS, 08-Aug-2022,101.05,102.0,102.0,102.0,102.0,102.0,102.0,268,0.27,1,268,100
75GS2034, GS, 08-Aug-2022,102.01,101.25,101.25,101.25,101.25,101.25,101.25,939,0.95,4,939,100
824GS2027, GS, 08-Aug-2022,109.0,108.85,108.85,108.84,108.84,108.84,108.85,5866,6.39,4,5866,100
A2ZINFRA, EQ, 08-Aug-2022,13.9,14.2,14.2,13.25,13.4,13.6,13.73,440943,60.53,869,284102,64.43
AAATECH, SM, 08-Aug-2022,108.0,108.0,108.0,106.0,107.95,107.95,106.59,45000,47.97,14,39000,86.67
AAKASH, EQ, 08-Aug-2022,13.45,13.95,13.95,13.05,13.15,13.2,13.43,218914,29.39,507,127079,58.05
AAREYDRUGS, EQ, 08-Aug-2022,35.1,35.45,35.45,33.55,34.3,34.2,34.56,42731,14.77,582,27589,64.56
AARON, EQ, 08-Aug-2022,129.75,130.0,143.2,128.9,135.7,135.4,136.78,38321,52.41,1366,11869,30.97
AARTIDRUGS, EQ, 08-Aug-2022,426.65,427.7,428.65,423.1,424.85,425.0,425.12,45708,194.31,3293,28230,61.76
AARTIIND, EQ, 08-Aug-2022,814.3,815.0,819.0,799.4,804.0,803.5,808.74,633444,5122.9,18575,314427,49.64
AARTISURF, EQ, 08-Aug-2022,770.75,790.0,790.0,769.0,772.05,772.8,774.91,7140,55.33,817,4069,56.99
AARVEEDEN, EQ, 08-Aug-2022,21.75,21.5,22.8,21.0,21.95,21.55,21.76,10774,2.34,183,4571,42.43
AARVI, EQ, 08-Aug-2022,100.4,102.9,104.9,99.05,101.4,101.4,101.36,23060,23.37,222,16683,72.35
AAVAS, EQ, 08-Aug-2022,2222.75,2233.85,2234.4,2147.45,2175.0,2165.5,2174.09,66791,1452.1,12466,37099,55.54
ABAN, EQ, 08-Aug-2022,44.7,44.55,49.0,44.05,46.1,46.0,46.43,291233,135.23,3763,137488,47.21
ABB, EQ, 08-Aug-2022,2688.2,2694.95,2797.0,2676.1,2716.0,2721.1,2740.76,382934,10495.29,28575,156807,40.95
ABBOTINDIA, EQ, 08-Aug-2022,20426.25,20400.0,20611.35,20197.3,20307.0,20300.0,20368.71,12436,2533.05,3301,6571,52.84
ABCAPITAL, EQ, 08-Aug-2022,105.15,105.15,107.45,104.5,106.65,106.8,106.19,2291109,2432.82,12450,953747,41.63
ABCOTS, SM, 08-Aug-2022,37.9,36.05,36.05,36.05,36.05,36.05,36.05,4000,1.44,1,4000,100
ABFRL, EQ, 08-Aug-2022,277.9,277.9,280.1,271.5,276.6,276.15,276.34,4008569,11077.13,37917,1616884,40.34
ABMINTLLTD, BE, 08-Aug-2022,78.0,78.0,81.9,74.1,74.1,74.95,80.07,325,0.26,14, -, -
ABSLAMC, EQ, 08-Aug-2022,431.9,432.95,439.0,432.0,436.5,437.1,436.73,81471,355.81,4003,34732,42.63
ABSLBANETF, EQ, 08-Aug-2022,38.0,39.99,39.99,37.52,38.32,38.22,38.13,2476,0.94,109,2375,95.92
ABSLNN50ET, EQ, 08-Aug-2022,42.84,42.84,43.15,42.0,42.71,42.71,42.67,8805,3.76,73,8505,96.59
ACC, EQ, 08-Aug-2022,2254.8,2260.0,2271.0,2220.3,2225.0,2224.6,2235.97,323076,7223.87,18038,136991,42.4
ACCELYA, EQ, 08-Aug-2022,1087.7,1093.15,1093.15,1055.0,1056.0,1064.2,1075.7,17269,185.76,2210,10018,58.01
ACCORD, SM, 08-Aug-2022,26.3,27.6,27.6,27.6,27.6,27.6,27.6,4000,1.1,2,4000,100
ACCURACY, EQ, 08-Aug-2022,210.95,213.95,218.5,210.0,217.25,216.9,215.19,29753,64.03,440,18150,61
ACE, EQ, 08-Aug-2022,219.95,219.95,222.3,218.05,219.1,219.95,220.28,101749,224.14,2566,50732,49.86
ACRYSIL, EQ, 08-Aug-2022,645.25,681.0,689.85,652.25,658.1,657.7,672.12,494890,3326.25,20771,201249,40.67
ADANIENT, EQ, 08-Aug-2022,2698.4,2700.0,2807.65,2695.65,2791.0,2791.9,2756.06,1581696,43592.48,53583,412787,26.1
