datetime,open,high,low,close,volume,oi
2020-07-14 00:00:00+05:30,73.6,74.05,71.65,72.4,68157222,0
2020-07-15 00:00:00+05:30,73.55,73.55,70.55,71.05,72169737,0
2020-07-16 00:00:00+05:30,71.55,71.55,69.25,70.9,64393087,0
2020-07-17 00:00:00+05:30,71.35,73.65,71.1,73.25,61118972,0
2020-07-20 00:00:00+05:30,73.2,73.2,71.5,72.35,57789343,0
2020-07-21 00:00:00+05:30,73.0,75.55,72.65,74.65,95873914,0
2020-07-22 00:00:00+05:30,74.7,75.55,71.8,72.4,73697480,0
2020-07-23 00:00:00+05:30,72.6,73.3,72.1,73.0,44622326,0
2020-07-24 00:00:00+05:30,72.1,72.65,70.7,71.45,57176618,0
2020-07-27 00:00:00+05:30,71.6,71.95,69.75,70.0,43059471,0
2020-07-28 00:00:00+05:30,70.45,73.8,70.25,73.3,93350129,0
2020-07-29 00:00:00+05:30,74.45,74.85,72.2,72.8,64723136,0
2020-07-30 00:00:00+05:30,73.25,73.5,70.8,71.35,48486401,0
2020-07-31 00:00:00+05:30,71.6,72.55,70.45,72.05,49105336,0
2020-08-03 00:00:00+05:30,70.9,78.75,70.85,77.85,282884343,0
2020-08-04 00:00:00+05:30,77.75,79.25,76.3,76.75,139298479,0
2020-08-05 00:00:00+05:30,77.4,81.0,77.1,79.45,144331685,0
2020-08-06 00:00:00+05:30,80.0,81.05,79.5,80.4,87282057,0
2020-08-07 00:00:00+05:30,80.55,82.4,79.85,82.0,82047703,0
2020-08-10 00:00:00+05:30,82.6,85.85,82.4,85.25,103262046,0
2020-08-11 00:00:00+05:30,86.05,86.6,83.6,84.2,72948709,0
2020-08-12 00:00:00+05:30,83.3,87.05,83.05,86.3,73660844,0
2020-08-13 00:00:00+05:30,86.8,90.8,85.65,90.3,138693337,0
2020-08-14 00:00:00+05:30,90.3,91.35,85.15,85.8,108982732,0
2020-08-17 00:00:00+05:30,85.7,86.9,83.05,85.05,88822946,0
2020-08-18 00:00:00+05:30,85.35,87.8,85.1,86.5,90275222,0
2020-08-19 00:00:00+05:30,87.45,87.85,85.9,86.15,65554038,0
2020-08-20 00:00:00+05:30,85.0,86.5,83.4,83.8,63229430,0
2020-08-21 00:00:00+05:30,85.5,85.5,82.7,83.25,70661839,0
2020-08-24 00:00:00+05:30,84.0,84.7,83.15,83.45,45456313,0
2020-08-25 00:00:00+05:30,83.85,88.35,83.4,87.5,131106781,0
2020-08-26 00:00:00+05:30,89.85,95.7,88.35,94.95,286879273,0
2020-08-27 00:00:00+05:30,96.45,101.1,95.9,99.3,263445972,0
2020-08-28 00:00:00+05:30,99.25,100.65,96.75,98.3,138266420,0
2020-08-31 00:00:00+05:30,99.5,101.85,95.15,98.6,233209207,0
2020-09-01 00:00:00+05:30,98.75,99.95,96.65,99.0,85419920,0
2020-09-02 00:00:00+05:30,99.35,104.4,97.4,103.5,108862105,0
2020-09-03 00:00:00+05:30,104.4,106.85,102.95,104.55,159995480,0
2020-09-04 00:00:00+05:30,101.85,105.8,101.2,101.75,138801828,0
2020-09-07 00:00:00+05:30,103.25,104.65,101.9,102.85,119999168,0
