datetime,open,high,low,close,volume,oi
2024-12-05 09:15:00+05:30,143.16,143.4,141.84,141.94,6891211,0
2024-12-05 10:15:00+05:30,141.95,142.58,141.72,142.1,2276445,0
2024-12-05 11:15:00+05:30,142.1,143.33,141.5,143.16,4945557,0
2024-12-05 12:15:00+05:30,143.16,143.6,143.01,143.32,4505833,0
2024-12-05 13:15:00+05:30,143.35,144.3,143.14,143.94,5058085,0
2024-12-05 14:15:00+05:30,143.94,144.51,142.43,143.99,9919913,0
2024-12-05 15:15:00+05:30,143.98,144.13,143.72,143.75,2424836,0
2024-12-06 09:15:00+05:30,144.14,144.29,143.26,143.52,5395933,0
2024-12-06 10:15:00+05:30,143.55,144.33,143.33,143.89,4408666,0
2024-12-06 11:15:00+05:30,143.89,143.94,143.43,143.77,1616438,0
2024-12-06 12:15:00+05:30,143.75,144.71,143.47,144.36,4415724,0
2024-12-06 13:15:00+05:30,144.38,144.63,143.79,144.22,5827860,0
2024-12-06 14:15:00+05:30,144.22,145.29,143.9,144.93,6335557,0
2024-12-06 15:15:00+05:30,144.97,145.17,144.72,144.77,2498686,0
2024-12-09 09:15:00+05:30,144.91,145.12,143.41,143.5,7425176,0
2024-12-09 10:15:00+05:30,143.5,144.09,143.42,143.62,2862618,0
2024-12-09 11:15:00+05:30,143.58,144.33,143.29,144.21,2846049,0
2024-12-09 12:15:00+05:30,144.19,146.48,143.81,146.43,5288059,0
2024-12-09 13:15:00+05:30,146.48,147.24,145.67,145.72,11027334,0
2024-12-09 14:15:00+05:30,145.76,146.74,145.6,146.41,7061743,0
2024-12-09 15:15:00+05:30,146.41,146.53,146.12,146.29,2353547,0
2024-12-10 09:15:00+05:30,146.77,148.33,145.91,148.03,10108198,0
2024-12-10 10:15:00+05:30,148.0,149.02,147.76,148.54,7140789,0
2024-12-10 11:15:00+05:30,148.54,148.71,147.86,147.91,2765031,0
2024-12-10 12:15:00+05:30,147.91,147.93,147.17,147.3,3391821,0
2024-12-10 13:15:00+05:30,147.3,147.46,146.83,147.27,2434597,0
2024-12-10 14:15:00+05:30,147.27,147.55,146.67,146.86,6264419,0
2024-12-10 15:15:00+05:30,146.87,147.18,146.77,146.97,3919274,0
2024-12-11 09:15:00+05:30,147.16,148.53,146.64,148.01,6387241,0
2024-12-11 10:15:00+05:30,148.0,148.52,147.66,147.87,2528980,0
2024-12-11 11:15:00+05:30,147.87,148.37,147.85,148.16,1803440,0
2024-12-11 12:15:00+05:30,148.11,148.64,147.87,147.94,2955542,0
2024-12-11 13:15:00+05:30,147.94,148.02,147.63,147.72,1348941,0
2024-12-11 14:15:00+05:30,147.75,148.06,147.13,147.23,3280977,0
2024-12-11 15:15:00+05:30,147.24,147.28,146.97,147.22,2030268,0
2024-12-12 09:15:00+05:30,147.43,147.43,145.83,146.03,4852823,0
2024-12-12 10:15:00+05:30,146.03,146.59,145.7,146.24,2749302,0
2024-12-12 11:15:00+05:30,146.25,146.29,145.7,145.81,1526780,0
2024-12-12 12:15:00+05:30,145.81,148.17,145.31,146.69,6809106,0
2024-12-12 13:15:00+05:30,146.69,147.66,146.3,146.75,2944529,0
2024-12-12 14:15:00+05:30,146.8,147.66,146.6,147.45,4407352,0
2024-12-12 15:15:00+05:30,147.45,147.56,146.97,146.97,2403677,0
2024-12-13 09:15:00+05:30,146.58,146.63,142.68,143.19,11216177,0
2024-12-13 10:15:00+05:30,143.16,143.4,142.23,143.11,5770759,0
2024-12-13 11:15:00+05:30,143.11,144.32,142.8,144.2,6678034,0
2024-12-13 12:15:00+05:30,144.22,145.01,143.76,144.53,4218068,0
2024-12-13 13:15:00+05:30,144.53,145.7,144.07,145.46,4158506,0
