strategy,timeframe,total_return_pct,sharpe_ratio,win_rate_pct,max_drawdown_pct,total_trades,profit_factor,avg_trade_pct
fib_3wave,daily,15.657,1.0565,89.9397,-2.3378,529,inf,1.4106
ema_21_55,daily,45.7062,0.5021,66.1275,-37.5482,865,inf,5.219
double_vwap_ha,daily,11.137,0.2621,58.4437,-36.8136,741,inf,2.0753
ascending_triangle,daily,7.2877,0.2311,41.8015,-10.1524,755,1.4565,0.4167
ichimoku_ha,daily,18.6997,0.223,43.32,-26.2459,2116,1.53,0.4501
elliott_wave3,daily,19.4868,0.2157,45.6307,-25.496,1563,inf,0.6446
rsi_trend_confirmation,daily,16.4944,0.1741,38.7622,-34.0011,3493,1.1592,0.2374
vwap_pullback,daily,27.6279,0.1729,38.2361,-48.8433,6557,1.0877,0.2192
hull_slope,daily,17.5128,0.1719,41.2915,-27.6298,6361,1.0945,0.1327
mcginley_dynamic,daily,11.6977,0.1667,35.7186,-21.6854,2854,1.162,0.1861
multi_timeframe,daily,23.8505,0.1637,34.2061,-41.0878,3538,1.1393,0.296
volume_oscillator,daily,10.582,0.1569,36.0544,-23.0272,2681,1.1492,0.1776
gmma,daily,5.0806,0.1384,36.7947,-18.4649,1674,1.1777,0.0637
obv_strategy,daily,11.1232,0.1324,36.4946,-43.6191,7155,inf,0.3279
kumo_breakout,daily,2.4806,0.1166,50.8182,-7.8591,557,1.632,0.2233
stochrsi_macd,daily,3.7987,0.1132,38.5841,-11.4284,768,1.2688,0.2249
ema_scalping_1min,daily,4.7084,0.0977,43.3125,-25.8139,2150,1.1478,0.0979
supply_demand,daily,5.2791,0.097,32.8028,-15.4627,1152,1.1635,0.1813
stochastic_confluence,daily,3.7332,0.0844,38.4787,-14.4068,1044,1.3032,0.2177
cpr,daily,3.0969,0.083,36.7813,-14.0068,1796,1.0904,0.0837
ichimoku_trend,daily,2.6706,0.0666,37.4518,-13.8634,840,1.1953,0.106
ema_3_scalping,daily,2.8173,0.062,43.4882,-26.6599,3192,1.0656,0.0545
elliott_abc,daily,4.2966,0.0505,31.3945,-36.2947,2683,1.0718,0.1005
atr_breakout,daily,3.7834,0.0422,35.0611,-28.9283,4493,1.0033,0.0296
ttm_squeeze_trend,daily,1.2892,0.036,36.9251,-11.0634,635,1.4332,0.1525
atr_trailing_stop,daily,4.6886,0.0223,35.2107,-38.0015,4853,0.9895,0.0381
hidden_divergence,daily,-2.4001,-0.0062,34.2691,-35.9804,3229,0.9404,-0.0603
renko_sma_obv,daily,-0.4204,-0.0086,33.869,-37.4112,6011,0.9584,-0.0135
rsi_centerline,daily,-2.307,-0.0162,41.043,-26.1611,4924,0.9776,-0.0167
cci_zero_cross,daily,-1.9846,-0.0165,34.5707,-31.8823,3477,0.9774,-0.0114
trix_zero_line,daily,0.1832,-0.0188,35.2361,-7.058,305,1.4106,0.0375
vwap_scalping,daily,-10.3263,-0.0219,46.9671,-30.9641,511,1.1207,-1.819
cmf_ichimoku,daily,0.0887,-0.0286,34.285,-26.7219,2682,0.9814,-0.0164
adx_dmi_obv,daily,0.3489,-0.0301,34.6408,-8.3125,333,1.4273,0.0272
macd_ma_filter,daily,-1.6233,-0.0374,34.3428,-25.2282,2244,0.9925,-0.0185
choppiness_filter,daily,-0.3781,-0.048,36.5079,-4.0901,103,inf,0.0929
donchian_turtle,daily,-7.4683,-0.048,33.6573,-49.4728,7238,0.9147,-0.0652
adx_filter,daily,0.1062,-0.0494,34.6154,-2.0018,14,inf,0.0356
rsi_divergence,daily,-1.2908,-0.0494,42.0767,-25.855,2290,1.0165,-0.0257
psar_ichimoku,daily,-2.8507,-0.0516,34.1987,-25.0939,2421,0.9578,-0.054
cci_divergence,daily,-2.1323,-0.0541,33.8472,-16.2483,1000,1.0492,-0.0509
swing_pivot,daily,-4.9199,-0.0558,34.238,-36.5416,4984,0.9458,-0.0452
cmf_strategy,daily,-3.6783,-0.0685,33.5347,-34.3997,3596,0.939,-0.0457
ttm_squeeze,daily,-1.701,-0.0702,33.4017,-14.2703,959,1.095,-0.0491
market_swing,daily,-8.372,-0.0807,33.9619,-35.2678,5656,0.9574,-0.0556
tdi,daily,-6.9327,-0.095,33.5172,-33.1249,5065,0.9302,-0.0684
momentum_zero,daily,-4.709,-0.0961,33.2815,-24.9874,2321,0.9394,-0.0839
vwma_sma,daily,-3.1863,-0.0962,32.8084,-18.2984,1326,0.9729,-0.0922
choppiness_breakout,daily,-0.9004,-0.1016,32.4653,-4.7609,143,inf,-0.1906
alligator,daily,-13.5612,-0.1029,33.1694,-57.7941,9207,0.8719,-0.0686
choppiness_volume,daily,-0.2329,-0.1069,29.5109,-4.1424,138,inf,-0.3014
macd_zero_line,daily,-3.4689,-0.1103,31.8602,-18.0548,1315,0.9346,-0.1195
bb_mean_reversion,daily,-4.1509,-0.1388,32.762,-15.5252,922,0.9471,-0.1939
chandelier_exit,daily,-2.886,-0.1506,30.4379,-13.0121,1963,0.9266,-0.0652
ha_rsi,daily,-17.1944,-0.1535,32.5412,-51.96,7674,0.8692,-0.113
fib_pivot,daily,-12.2747,-0.1584,34.1136,-59.8573,16228,0.9112,-0.0308
bb_squeeze,daily,-6.9772,-0.1813,26.303,-22.9091,1386,0.8422,-0.2506
fib_confluence,daily,-20.8859,-0.1893,32.0,-52.5225,7171,0.856,-0.1267
roc_ma,daily,-12.526,-0.2096,32.3814,-33.6134,3857,0.8629,-0.1396
candlestick_patterns,daily,-8.5689,-0.2218,31.3994,-22.3437,2096,0.8482,-0.2076
golden_ratio,daily,-12.2676,-0.2276,26.2023,-27.8327,2096,0.8009,-0.2645
renko_sr,daily,-25.4847,-0.2444,32.684,-52.6588,12364,0.8852,-0.1049
fib_retracement,daily,-26.7531,-0.2932,65.005,-47.4861,14274,0.829,-0.0907
ma_envelopes,daily,-5.4145,-0.2967,56.0514,-11.2025,1813,0.8455,-0.1477
ma_crossover_swing,daily,-26.1365,-0.3349,29.7665,-40.5627,1898,0.6844,-0.6486
double_bb,daily,-62.3357,-3.4896,0.0,-62.3349,3387,0.0,-0.8869
pivot_point,daily,-59.5608,-4.432,14.3424,-59.6197,12404,0.0653,-0.2319
vwap_sd_bands,daily,-98.0441,-9.8316,6.7593,-98.3529,58241,0.0207,-0.0834
fib_3wave,hourly,5.0736,0.6763,78.119,-1.2116,611,inf,0.398
choppiness_filter,hourly,1.4881,0.0744,41.1355,-6.3193,398,inf,0.2093
adx_filter,hourly,1.0097,0.0547,46.7117,-2.6094,84,inf,0.5973
ema_21_55,hourly,0.2694,0.0514,57.5838,-14.829,1031,inf,0.4137
cci_divergence,hourly,0.7533,0.0426,36.8898,-13.3115,1434,1.1245,0.058
vwap_scalping,hourly,-2.9079,0.0086,51.6041,-7.1079,2390,1.2795,0.1414
bb_mean_reversion,hourly,0.3967,0.001,35.7017,-9.2556,1146,1.1199,0.0307
gmma,hourly,-2.4594,-0.038,35.634,-18.907,2489,0.9791,-0.0306
trix_zero_line,hourly,-0.2345,-0.0384,36.4958,-5.7777,396,1.1747,-0.0203
ttm_squeeze,hourly,-1.4114,-0.0555,35.2839,-11.5025,1271,1.0038,-0.029
ma_crossover_swing,hourly,-2.6459,-0.0597,35.2869,-17.7096,2752,0.9571,-0.0372
stochastic_confluence,hourly,-2.2817,-0.084,33.7647,-15.6987,1299,0.974,-0.0728
ascending_triangle,hourly,-1.7024,-0.0848,33.8892,-13.1248,1507,0.9254,-0.086
stochrsi_macd,hourly,-1.9953,-0.0867,33.4528,-10.8357,1016,0.9928,-0.0682
choppiness_volume,hourly,-0.5675,-0.0894,33.2316,-3.9657,204,inf,-0.1082
adx_dmi_obv,hourly,-1.8353,-0.0947,33.0919,-9.8245,758,0.9608,-0.1288
tdi,hourly,-7.0444,-0.1039,34.8301,-29.5083,7085,0.9322,-0.0456
elliott_wave3,hourly,-9.2207,-0.1046,30.3385,-37.0902,2102,1.0193,-0.1389
mcginley_dynamic,hourly,-6.4587,-0.1075,34.3875,-27.3924,4709,0.931,-0.0663
ttm_squeeze_trend,hourly,-1.7737,-0.1076,33.4187,-9.4425,799,0.9689,-0.0968
