strategy,timeframe,total_return_pct,sharpe_ratio,win_rate_pct,max_drawdown_pct,total_trades,profit_factor
fib_3wave,5minute,0.3479,1.0936,100.0,-0.0094,6,0.0
adx_dmi_obv,5minute,0.4058,0.6226,62.8571,-0.454,35,1.8408
elliott_wave3,5minute,5.4103,0.554,50.9132,-8.4435,438,3.2512
vwap_pullback,5minute,2.2174,0.3719,44.919,-6.5164,679,4.5716
elliott_abc,5minute,2.2226,0.2395,52.2727,-2.7802,264,5.886
supply_demand,5minute,0.5424,0.1706,40.3727,-1.733,161,1.5846
ichimoku_ha,5minute,1.4197,0.1677,43.8596,-4.89,399,25.203
fib_confluence,5minute,1.0359,0.1599,42.54,-7.3039,1126,1.7501
macd_zero_line,5minute,0.4216,0.1543,45.2128,-1.5735,188,1.5967
gmma,5minute,0.3718,0.1406,42.5373,-2.9903,268,2.2979
cmf_ichimoku,5minute,0.3159,0.1384,43.6782,-2.276,261,3.6882
adx_filter,5minute,0.4425,0.0759,56.5217,-0.9403,23,0.1065
ttm_squeeze_trend,5minute,0.0879,0.0646,40.2299,-1.0799,87,1.0783
ichimoku_trend,5minute,0.1492,0.0578,42.8571,-1.8797,133,2.8761
psar_ichimoku,5minute,0.5269,0.0549,42.1687,-2.9049,249,6.0693
ema_scalping_1min,5minute,0.3188,-0.0128,46.3542,-5.9176,576,1.5825
rsi_divergence,5minute,0.2555,-0.0283,55.6863,-1.8146,255,7.5734
stochastic_confluence,5minute,-0.1375,-0.1152,36.6667,-2.0672,90,1.2131
roc_ma,5minute,-0.1004,-0.1314,37.9233,-3.2625,443,1.8448
ascending_triangle,5minute,0.3037,-0.1335,43.125,-1.6561,160,1.4531
ema_21_55,5minute,0.1409,-0.1591,46.3889,-3.7611,360,1.1333
multi_timeframe,5minute,0.1809,-0.1897,36.4662,-6.1594,532,3.6379
atr_trailing_stop,5minute,-0.5398,-0.1957,38.3792,-5.7828,654,2.4158
ttm_squeeze,5minute,-0.1254,-0.2299,37.8788,-1.2933,132,1.1385
donchian_turtle,5minute,-0.7406,-0.2553,38.4534,-6.0466,944,1.1596
kumo_breakout,5minute,0.0753,-0.2568,32.6087,-0.661,92,2.751
trix_zero_line,5minute,-0.1612,-0.2687,34.6939,-0.8855,49,0.4309
mcginley_dynamic,5minute,-0.9361,-0.2694,35.3464,-4.0953,563,0.9923
volume_oscillator,5minute,-0.3419,-0.3063,35.5769,-1.9584,208,0.858
bb_squeeze,5minute,-0.3988,-0.3146,37.3984,-1.9048,123,0.8433
choppiness_breakout,5minute,-0.0666,-0.316,30.7692,-0.6459,26,0.6856
cmf_strategy,5minute,-0.9739,-0.3673,34.585,-4.0386,506,1.3036
vwap_scalping,5minute,-0.5444,-0.3714,41.9238,-2.2463,551,0.8945
cci_zero_cross,5minute,-1.0254,-0.4002,32.3462,-3.7814,439,1.3148
cpr,5minute,-0.9268,-0.4277,36.7764,-2.7988,881,0.9046
vwma_sma,5minute,-0.0969,-0.4359,36.7347,-1.0401,49,0.1286
market_swing,5minute,-1.3697,-0.4563,37.0513,-3.7613,780,0.8467
momentum_zero,5minute,-0.9387,-0.4726,31.9885,-3.0054,347,1.1933
rsi_trend_confirmation,5minute,-1.4589,-0.4777,31.0638,-4.3562,470,1.0842
ema_3_scalping,5minute,-1.0618,-0.4889,40.0,-2.4017,460,0.8607
choppiness_filter,5minute,-0.3476,-0.5068,31.0345,-1.3477,58,0.313
atr_breakout,5minute,-1.1871,-0.5069,33.209,-3.521,536,0.8842
renko_sma_obv,5minute,-1.4875,-0.5209,34.2428,-4.7996,733,0.8548
golden_ratio,5minute,-0.399,-0.5229,28.0303,-1.9977,264,1.4457
hidden_divergence,5minute,-0.8201,-0.5257,33.8129,-3.8207,417,1.4869
bb_mean_reversion,5minute,-0.5875,-0.537,27.9279,-1.3595,111,0.6399
ha_rsi,5minute,-2.2267,-0.5374,33.4317,-7.2069,1017,1.095
ma_crossover_swing,5minute,-0.9274,-0.5516,27.8125,-2.7059,320,0.8008
london_breakout,5minute,-0.5386,-0.552,25.5814,-1.3876,129,1.2659
alligator,5minute,-3.4795,-0.574,32.7076,-10.5086,1385,1.4002
cci_divergence,5minute,-0.6911,-0.592,32.0988,-2.0475,162,1.2244
fib_pivot,5minute,-4.0204,-0.5948,35.7113,-9.7179,2383,0.8823
choppiness_volume,5minute,-0.1595,-0.6533,25.0,-0.7046,20,0.2105
hull_slope,5minute,-1.8845,-0.6562,33.052,-4.6983,711,0.9122
tdi,5minute,-1.906,-0.7125,31.4748,-3.6923,556,0.7963
renko_sr,5minute,-4.4312,-0.7295,34.7072,-9.1073,1844,0.8
chandelier_exit,5minute,-0.1632,-0.7441,14.8148,-0.2156,27,0.0698
candlestick_patterns,5minute,-2.8096,-0.757,33.035,-5.1942,1229,0.7462
obv_strategy,5minute,-2.6224,-0.7894,31.7662,-5.7843,787,0.8236
rsi_centerline,5minute,-2.3046,-0.7922,35.3941,-4.0108,647,0.7748
pivot_point,5minute,-3.4393,-0.8915,30.7902,-5.7374,367,0.554
macd_ma_filter,5minute,-0.498,-0.9003,8.0,-0.6375,25,0.0365
swing_pivot,5minute,-4.995,-0.9295,31.4286,-8.4023,1435,0.7126
stochrsi_macd,5minute,-0.39,-0.9425,10.0,-0.6392,30,0.0701
double_vwap_ha,5minute,-4.0605,-1.1037,26.3835,-5.347,777,0.4983
vwap_sd_bands,5minute,-2.3309,-1.1615,29.4906,-3.53,746,0.4618
ma_envelopes,5minute,-0.4264,-1.2201,0.0,-0.4264,1,0.0
fib_retracement,5minute,-7.6925,-1.7184,34.9919,-10.3255,3095,0.5233
