transition,pub_period,pub_year,review_date,E_source,cell,isin,symbol,company_name,prev_rank,cur_rank,prev_category,category,drop_reason,qty,entry_open,exit_open,gross_ret,net_ret,cost_frac,fees,bench_ret,ar_net,ar_gross,pre_ar_20d,pre_ar_60d
2017H2->2018H1,2018H1,2018,(none),fallback: panel has no 5th trading day in 07/2018,PROMOTION-TO-LARGE,INE376G01013,BIOCON,BIOCON LTD.,116,77,MID,LARGE,E undatable: fallback: panel has no 5th trading day in 07/2018,,,,,,,,,,,,
2017H2->2018H1,2018H1,2018,(none),fallback: panel has no 5th trading day in 07/2018,PROMOTION-TO-LARGE,INE114A01011,SAIL,"STEEL AUTHORITY OF INDIA LTD.,",103,88,MID,LARGE,E undatable: fallback: panel has no 5th trading day in 07/2018,,,,,,,,,,,,
2017H2->2018H1,2018H1,2018,(none),fallback: panel has no 5th trading day in 07/2018,PROMOTION-TO-LARGE,INE721A01013,SRTRANSFIN,"SHRIRAM TRANSPORT FINANCE CO. LTD.,",107,91,MID,LARGE,E undatable: fallback: panel has no 5th trading day in 07/2018,,,,,,,,,,,,
2017H2->2018H1,2018H1,2018,(none),fallback: panel has no 5th trading day in 07/2018,PROMOTION-TO-LARGE,INE883A01011,MRF,"M.R.F. LTD.,",102,95,MID,LARGE,E undatable: fallback: panel has no 5th trading day in 07/2018,,,,,,,,,,,,
2017H2->2018H1,2018H1,2018,(none),fallback: panel has no 5th trading day in 07/2018,PROMOTION-TO-LARGE,INE179A01014,PGHH,PROCTER & GAMBLE HYGIENE & HEALTH CARE LTD.,104,97,MID,LARGE,E undatable: fallback: panel has no 5th trading day in 07/2018,,,,,,,,,,,,
2017H2->2018H1,2018H1,2018,(none),fallback: panel has no 5th trading day in 07/2018,PROMOTION-TO-LARGE,INE259A01022,COLPAL,"COLGATE-PALMOLIVE (INDIA) LTD.,",101,100,MID,LARGE,E undatable: fallback: panel has no 5th trading day in 07/2018,,,,,,,,,,,,
2017H2->2018H1,2018H1,2018,(none),fallback: panel has no 5th trading day in 07/2018,DEMOTION-FROM-LARGE,INE012A01025,ACC,ACC LTD,86,103,LARGE,MID,E undatable: fallback: panel has no 5th trading day in 07/2018,,,,,,,,,,,,
2017H2->2018H1,2018H1,2018,(none),fallback: panel has no 5th trading day in 07/2018,DEMOTION-FROM-LARGE,INE117A01022,ABB,ABB INDIA LIMITED,99,105,LARGE,MID,E undatable: fallback: panel has no 5th trading day in 07/2018,,,,,,,,,,,,
2017H2->2018H1,2018H1,2018,(none),fallback: panel has no 5th trading day in 07/2018,DEMOTION-FROM-LARGE,INE160A01022,PNB,PUNJAB NATIONAL BANK,81,106,LARGE,MID,E undatable: fallback: panel has no 5th trading day in 07/2018,,,,,,,,,,,,
2017H2->2018H1,2018H1,2018,(none),fallback: panel has no 5th trading day in 07/2018,DEMOTION-FROM-LARGE,INE848E01016,NHPC,NHPC LIMITED,97,107,LARGE,MID,E undatable: fallback: panel has no 5th trading day in 07/2018,,,,,,,,,,,,
2017H2->2018H1,2018H1,2018,(none),fallback: panel has no 5th trading day in 07/2018,DEMOTION-FROM-LARGE,INE115A01026,LICHSGFIN,LIC HOUSING FINANCE LTD.,89,111,LARGE,MID,E undatable: fallback: panel has no 5th trading day in 07/2018,,,,,,,,,,,,
2017H2->2018H1,2018H1,2018,(none),fallback: panel has no 5th trading day in 07/2018,DEMOTION-FROM-LARGE,INE020B01018,RECLTD,RURAL ELECTRIFICATION CORPORATION LIMITED,88,114,LARGE,MID,E undatable: fallback: panel has no 5th trading day in 07/2018,,,,,,,,,,,,
2017H2->2018H1,2018H1,2018,(none),fallback: panel has no 5th trading day in 07/2018,DEMOTION-FROM-LARGE,INE134E01011,PFC,POWER FINANCE CORPORATION LTD,83,118,LARGE,MID,E undatable: fallback: panel has no 5th trading day in 07/2018,,,,,,,,,,,,
2017H2->2018H1,2018H1,2018,(none),fallback: panel has no 5th trading day in 07/2018,DEMOTION-FROM-LARGE,INE051B01021,VAKRANGEE,VAKRANGEE LIMITED,100,137,LARGE,MID,E undatable: fallback: panel has no 5th trading day in 07/2018,,,,,,,,,,,,
2017H2->2018H1,2018H1,2018,(none),fallback: panel has no 5th trading day in 07/2018,PROMOTION-TO-MID,INE371A01025,GRAPHITE,GRAPHITE INDIA LTD.,270,184,SMALL,MID,E undatable: fallback: panel has no 5th trading day in 07/2018,,,,,,,,,,,,
2017H2->2018H1,2018H1,2018,(none),fallback: panel has no 5th trading day in 07/2018,PROMOTION-TO-MID,INE018I01017,MINDTREE,MINDTREE  LIMITED,260,189,SMALL,MID,E undatable: fallback: panel has no 5th trading day in 07/2018,,,,,,,,,,,,
2017H2->2018H1,2018H1,2018,(none),fallback: panel has no 5th trading day in 07/2018,PROMOTION-TO-MID,INE010V01017,LTTS,L&T TECHNOLOGY SERVICES LIMITED,252,203,SMALL,MID,E undatable: fallback: panel has no 5th trading day in 07/2018,,,,,,,,,,,,
2017H2->2018H1,2018H1,2018,(none),fallback: panel has no 5th trading day in 07/2018,PROMOTION-TO-MID,INE545A01016,HEG,HEG LTD.,382,218,SMALL,MID,E undatable: fallback: panel has no 5th trading day in 07/2018,,,,,,,,,,,,
2017H2->2018H1,2018H1,2018,(none),fallback: panel has no 5th trading day in 07/2018,PROMOTION-TO-MID,INE093A01033,HEXAWARE,HEXAWARE TECHNOLOGIES LTD.,253,219,SMALL,MID,E undatable: fallback: panel has no 5th trading day in 07/2018,,,,,,,,,,,,
