category,tercile,era,window,N,mean_car,median_car,std_car,t_stat,p_value,pct_positive,fdr_survivor
Acquisition,t1,2020-2022,20d,274,-0.015101122238055948,-0.029037080791177783,0.09833623494732927,-2.541972970325058,0.01102286974761382,39.416058394160586,True
Acquisition,t1,2020-2022,2d,274,-0.0034621832618096627,-0.007789869276459693,0.041528811583404525,-1.3799896545176262,0.1675898301913411,41.97080291970803,False
Acquisition,t1,2020-2022,5d,274,-0.00883974593392194,-0.01413338197209102,0.05373259232317108,-2.723185781473188,0.0064655687757537925,38.68613138686132,True
Acquisition,t1,2023-2024,20d,330,-0.0003241440132463454,-0.017321144283356738,0.10568962633453113,-0.055713778382234826,0.9555698229904278,41.81818181818181,False
Acquisition,t1,2023-2024,2d,330,-0.00439604478778093,-0.006843713728071854,0.030436225010709816,-2.6237852861851274,0.008695858533298254,40.303030303030305,True
Acquisition,t1,2023-2024,5d,330,-0.005496045618324337,-0.011746042981233162,0.050766564182532704,-1.9666610963813487,0.04922229477809222,39.696969696969695,True
Acquisition,t1,2025-2026,20d,153,0.0037558548691546843,-0.01986597566796089,0.1235030596681714,0.37616362821186233,0.7067952534801145,40.52287581699346,False
Acquisition,t1,2025-2026,2d,153,-0.00039261789049677614,-0.002336843691653767,0.03563191191782179,-0.13629398024659983,0.8915888825463825,47.05882352941176,False
Acquisition,t1,2025-2026,5d,153,-0.0004365831373037437,-0.004326175381277997,0.055029014731075576,-0.09813432413411971,0.9218256323397243,46.40522875816993,False
Acquisition,t2,2020-2022,20d,206,-0.01396700853299876,-0.03300209461301984,0.11335985841192409,-1.7683886297891915,0.07699595609236712,36.407766990291265,False
Acquisition,t2,2020-2022,2d,206,-0.0025130719870792738,-0.006235153524151993,0.03355524349534693,-1.0749249532701737,0.282408329049346,42.23300970873786,False
Acquisition,t2,2020-2022,5d,206,-0.007381636430561481,-0.013965633673266642,0.053619334891425,-1.97589944202653,0.0481661674149066,35.43689320388349,True
Acquisition,t2,2023-2024,20d,454,-0.0062325491452408744,-0.0124462975830687,0.10312430874072157,-1.2877530516452234,0.1978319397593824,44.49339207048458,False
Acquisition,t2,2023-2024,2d,454,-0.0029059221104265256,-0.004565565755450085,0.02948453540528021,-2.099991838824382,0.035729559047487335,39.4273127753304,True
Acquisition,t2,2023-2024,5d,454,-0.004844525156069085,-0.008119773919435025,0.048609055278304114,-2.1235474090183906,0.033708007168945446,39.86784140969163,True
Acquisition,t2,2025-2026,20d,340,-0.0019049005442823227,-0.009187476820651241,0.09019424872227208,-0.38943315130459194,0.6969557525517704,45.88235294117647,False
Acquisition,t2,2025-2026,2d,340,-0.0028215746798227344,-0.004524122109185569,0.0328347006720116,-1.5845208068165364,0.11307525057042739,44.11764705882353,False
Acquisition,t2,2025-2026,5d,340,-0.0012217087798209402,-0.004543748087206867,0.04571334215645441,-0.4927926018130294,0.6221591386819847,45.294117647058826,False
Acquisition,t3,2020-2022,20d,448,-0.012660699681970727,-0.024682600417334666,0.10135863602479736,-2.6438447947838646,0.008197023267039145,35.714285714285715,True
Acquisition,t3,2020-2022,2d,448,-0.0023487333466116764,-0.004607091369297767,0.03180171884747152,-1.5632272861586007,0.11799914430308409,41.517857142857146,False
Acquisition,t3,2020-2022,5d,448,-0.003205979274048952,-0.007862679211238288,0.047741462070480016,-1.421359715383452,0.15521221150956338,40.625,False
Acquisition,t3,2023-2024,20d,513,-0.026140339692258707,-0.0224065353667795,0.08686284884124103,-6.816098230406713,9.35463449663475e-12,35.4775828460039,True
Acquisition,t3,2023-2024,2d,513,-0.0033082564328552775,-0.004871181653742673,0.023508249975581753,-3.187407190678215,0.0014355452030953614,41.71539961013645,True
Acquisition,t3,2023-2024,5d,513,-0.0061152641496104625,-0.010574581785672388,0.03509170399214877,-3.94702108519741,7.912959059039847e-05,37.42690058479532,True
Acquisition,t3,2025-2026,20d,408,-0.007508794122691837,-0.006083084137109951,0.07654589450614664,-1.9814283656239926,0.0475432553469313,45.588235294117645,True
Acquisition,t3,2025-2026,2d,408,0.0006161421325693695,-0.000429919861229644,0.027363084596825196,0.4548266836363384,0.6492339317700333,48.529411764705884,False
Acquisition,t3,2025-2026,5d,408,0.0013461361913064609,0.002409067814263699,0.039721321230857635,0.6845345869938465,0.4936376567704035,52.94117647058824,False
Action(s) taken or orders passed,t1,2023-2024,20d,23,0.030013824675845163,-0.0241795239846605,0.1623616231212195,0.8865472255603936,0.3753227177409516,39.130434782608695,False
Action(s) taken or orders passed,t1,2023-2024,2d,23,0.0032760112657330555,-0.0001568076037983257,0.022011297767801835,0.7137788177993102,0.4753639598110555,47.82608695652174,False
Action(s) taken or orders passed,t1,2023-2024,5d,23,0.002027277654916219,-0.003009354912976825,0.04420560316565009,0.21993777683616206,0.8259196149029969,39.130434782608695,False
Action(s) taken or orders passed,t1,2025-2026,20d,154,-0.007436998709151938,-0.017117215003906228,0.10755921301067993,-0.8580457619847679,0.39086719487196264,40.909090909090914,False
Action(s) taken or orders passed,t1,2025-2026,2d,154,0.0004271211359891024,-0.002813022420909417,0.03570630689189823,0.14844531306407133,0.8819913415224674,47.4025974025974,False
Action(s) taken or orders passed,t1,2025-2026,5d,154,-0.0017104378889036913,-0.010307393448381608,0.05880322738089926,-0.36096617377037193,0.7181247340783701,42.857142857142854,False
Action(s) taken or orders passed,t2,2023-2024,20d,44,0.04388828131793366,0.03537173271338301,0.09562731403769824,3.0443386032523603,0.0023319251612032234,63.63636363636363,True
Action(s) taken or orders passed,t2,2023-2024,2d,44,0.004896320126970441,-0.004999271610439782,0.041574793189726816,0.781206854861229,0.4346808426779356,40.909090909090914,False
Action(s) taken or orders passed,t2,2023-2024,5d,44,0.01854705676032759,0.0023223643072969313,0.06862632384505246,1.7927123235777387,0.07301893497405076,50.0,False
Action(s) taken or orders passed,t2,2025-2026,20d,324,-0.002528833611075923,-0.002031529034596302,0.08251862955819757,-0.5516209520574213,0.5812080784152609,48.76543209876543,False
Action(s) taken or orders passed,t2,2025-2026,2d,324,-0.0016879313115506554,-0.0033135002264925717,0.030965996550267896,-0.9811653746906119,0.32651119608073276,47.22222222222222,False
Action(s) taken or orders passed,t2,2025-2026,5d,324,-0.0007741139135557018,-0.001728868792783278,0.044704379835966604,-0.311693182975152,0.7552737092489765,47.22222222222222,False
Action(s) taken or orders passed,t3,2023-2024,20d,150,-0.012065716392574324,-0.020522260410254067,0.058254577064583306,-2.536697546544368,0.01119035871459938,35.333333333333336,True
Action(s) taken or orders passed,t3,2023-2024,2d,150,-0.005983362123993624,-0.007908997717796962,0.02340339578117241,-3.1312088824884072,0.0017408828922213953,36.666666666666664,True
Action(s) taken or orders passed,t3,2023-2024,5d,150,-0.010218399965484182,-0.004054345737937615,0.03595483739759243,-3.4807369070156757,0.0005000363954165096,45.33333333333333,True
Action(s) taken or orders passed,t3,2025-2026,20d,397,0.010679125868107911,0.007547929704632583,0.08088158782327069,2.6307603651006426,0.008519408403945983,55.41561712846348,True
Action(s) taken or orders passed,t3,2025-2026,2d,397,0.0011676140808175534,0.0017599206319534044,0.024886980084247435,0.9348079062694223,0.3498873043299594,52.896725440806044,False
Action(s) taken or orders passed,t3,2025-2026,5d,397,0.003148139837987516,0.003224314591858235,0.04081937264287409,1.5366782445568001,0.12437212120696862,53.40050377833753,False
Allotment of Securities,t1,2020-2022,20d,239,-0.010052715145264473,-0.02755531166028058,0.12365949972973553,-1.256767211948192,0.20883794207189044,39.74895397489539,False
Allotment of Securities,t1,2020-2022,2d,239,-0.007916807580123881,-0.011134361283039018,0.03706193554058566,-3.3023336014277853,0.0009588395899754072,38.49372384937239,True
Allotment of Securities,t1,2020-2022,5d,239,-0.0021611575990535562,-0.013519107947437381,0.07951046497165255,-0.4202048837202332,0.6743357873866602,41.00418410041841,False
Allotment of Securities,t1,2023-2024,20d,322,-0.008464314629536713,-0.026939991923227657,0.1251010137062155,-1.2141124296540735,0.22470479418796374,38.81987577639752,False
Allotment of Securities,t1,2023-2024,2d,322,-0.004512905067741619,-0.00876304488948465,0.03688558104091815,-2.1954699879512733,0.028129901462944605,37.577639751552795,True
Allotment of Securities,t1,2023-2024,5d,322,-0.007465660672678632,-0.01570705976373532,0.05139933775700799,-2.606385548624504,0.009150339861126124,37.267080745341616,True
Allotment of Securities,t1,2025-2026,20d,189,-0.0017108154824365708,-0.010684923216390918,0.10805132027519229,-0.21767271593907495,0.8276841234722538,45.5026455026455,False
Allotment of Securities,t1,2025-2026,2d,189,0.0006834293337217181,-0.0035776198412815763,0.03625241853212718,0.25917167301465893,0.7955027862164186,43.91534391534391,False
Allotment of Securities,t1,2025-2026,5d,189,0.006428846342270612,-0.005530047730693433,0.06810227261526462,1.297783782978705,0.19436164378704923,44.97354497354497,False
Allotment of Securities,t2,2020-2022,20d,194,-0.020193204935190872,-0.031228507711538955,0.12546811003104705,-2.241675584564808,0.024982346969523363,35.56701030927835,True
Allotment of Securities,t2,2020-2022,2d,194,-0.006434190323193945,-0.008318203732897655,0.03564892362138007,-2.513902019106087,0.011940360208670323,37.628865979381445,True
Allotment of Securities,t2,2020-2022,5d,194,-0.012170994767150445,-0.0180423680485991,0.05333642784565011,-3.178359475573185,0.0014811099427859678,36.08247422680412,True
Allotment of Securities,t2,2023-2024,20d,414,0.0009375901161359711,-0.013604142738040614,0.10775276594989833,0.17704544752496626,0.8594726914417161,42.51207729468599,False
Allotment of Securities,t2,2023-2024,2d,414,-0.0027079515403456507,-0.004349174680372714,0.031690331067074994,-1.7386584778236989,0.0820948537809862,40.82125603864734,False
Allotment of Securities,t2,2023-2024,5d,414,-0.004473328951329101,-0.0111275410027587,0.05439590819576429,-1.6732651817371895,0.09427510359553277,39.85507246376812,False
Allotment of Securities,t2,2025-2026,20d,315,0.0010617392981611539,-0.008321115138103297,0.09328240257729714,0.20201026849309459,0.8399086965784758,48.25396825396825,False
Allotment of Securities,t2,2025-2026,2d,315,-0.003361823453340166,-0.006319410222733635,0.03611811018166287,-1.6519814298108066,0.09853833654297116,40.0,False
Allotment of Securities,t2,2025-2026,5d,315,0.0008013555795812208,-0.002488944675902993,0.05125210184656685,0.2775037533657036,0.7813933241825124,47.61904761904761,False
Allotment of Securities,t3,2020-2022,20d,490,-0.01514143179549258,-0.020980904339398254,0.08342905393408236,-4.017423964003772,5.883781127072317e-05,37.142857142857146,True
Allotment of Securities,t3,2020-2022,2d,490,-0.0021220154302284454,-0.005335296673411261,0.0287056185258591,-1.6363630654567904,0.10176362436474971,40.0,False
