name,t_cagr%,t_sharpe,t_maxdd%,t_trades,t_win%,t_final,v_cagr%,v_sharpe,v_maxdd%,v_trades,v_win%,v_final
momo lb=63 n=3 regime=True,5.0,0.48,-29.0,57,40.4,121171,3.5,0.45,-6.8,24,54.2,105299
momo lb=63 n=3 regime=False,8.5,0.65,-29.3,77,42.9,137805,4.6,0.47,-6.8,30,50.0,107084
momo lb=63 n=5 regime=True,8.3,0.58,-38.1,90,46.7,136631,-1.2,-0.05,-13.7,41,51.2,98126
momo lb=63 n=5 regime=False,15.3,0.79,-43.1,116,45.7,174694,-6.1,-0.33,-19.1,49,46.9,90964
momo lb=126 n=3 regime=True,2.9,0.3,-20.0,43,51.2,111694,4.6,0.58,-4.8,22,54.5,107014
momo lb=126 n=3 regime=False,7.4,0.58,-22.9,50,50.0,132278,-0.4,0.01,-11.0,28,46.4,99449
momo lb=126 n=5 regime=True,2.3,0.22,-31.0,71,42.3,109483,5.6,0.52,-9.3,33,51.5,108634
momo lb=126 n=5 regime=False,7.8,0.47,-33.5,84,44.0,134207,-2.0,-0.06,-18.6,42,45.2,96983
momo lb=252 n=3 regime=True,2.9,0.31,-24.8,31,48.4,111625,-5.2,-0.61,-12.2,17,23.5,92270
momo lb=252 n=3 regime=False,3.9,0.38,-26.1,35,45.7,115940,-5.5,-0.5,-16.5,20,35.0,91808
momo lb=252 n=5 regime=True,6.5,0.46,-33.4,51,41.2,127995,-10.1,-0.72,-24.7,26,19.2,85161
momo lb=252 n=5 regime=False,8.3,0.53,-37.6,53,41.5,136400,-10.3,-0.57,-29.4,32,28.1,84788
trend adx>0,24.5,1.28,-33.5,236,32.6,235449,-4.2,-0.24,-21.6,101,27.7,93657
trend adx>20,15.0,0.88,-44.0,220,31.4,172875,-1.7,-0.06,-18.1,93,32.3,97482
trend adx>25,13.3,0.78,-40.9,214,30.4,162915,-13.0,-1.01,-25.1,102,30.4,80942
pullback rsi<5 hold<=7,-5.8,-0.62,-30.5,431,54.1,79133,-3.9,-0.39,-12.5,200,57.0,94164
pullback rsi<5 hold<=10,-4.6,-0.46,-28.4,416,53.4,83171,-0.3,0.01,-9.7,199,57.3,99537
pullback rsi<10 hold<=7,-8.4,-0.73,-37.0,644,54.8,70855,-6.2,-0.51,-19.8,317,60.6,90772
pullback rsi<10 hold<=10,-8.2,-0.7,-35.5,603,53.2,71626,-4.9,-0.38,-19.6,308,60.4,92611
