id,category,era,clean_window,car5,anon_text
ev_000,Disclosure under SEBI Takeover Regulations,2025-2026,True,-0.007827564275636245,"Zuari Maroc COMPANY Private Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
ev_001,Disclosure under SEBI Takeover Regulations,2025-2026,True,-0.013896188113490915,"K Ravindra Chandrappa has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
ev_002,Disclosure under SEBI Takeover Regulations,2025-2026,True,-0.00802204473643875,"Larsen & Toubro Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
ev_003,Change in Director(s),2025-2026,True,-0.023624507547132634,COMPANY has informed the Exchange regarding Change in Director(s) of the company.
ev_004,Disclosure under SEBI Takeover Regulations,2025-2026,True,0.09321307149002767,"Pavan Jain,Siddharth Jain, Nayantara Jain,Ishita Jain, COMPANY Chemicals LLP,Siddho Mal Trading LLP,GFL Limited ,COMPANY Infrastructure Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
ev_005,Change in Director(s),2025-2026,True,-0.017939329300698637,COMPANY has informed the Exchange regarding Change in Director(s) of the company.
ev_006,Disclosure under SEBI Takeover Regulations,2025-2026,True,0.07616062931490108,"COMPANY CAPITAL MANAGEMENT PRIVATE LIMITED has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
ev_007,Disclosure under SEBI Takeover Regulations,2025-2026,True,0.026727842690717152,"COMPANY COMPANY Ltd (formerly known as COMPANY ABB Power Grids Ltd) has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
ev_008,Disclosure under SEBI Takeover Regulations,2025-2026,True,0.004808665446709659,"Ajay T. Jaisinghani has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
ev_009,Change in Director(s),2025-2026,True,-0.01814682780082766,COMPANY has informed the Exchange regarding Change in Director(s) of the company.
ev_010,Disclosure under SEBI Takeover Regulations,2025-2026,True,-0.023591106574138654,"Bharat Kumar Vageria has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
ev_011,Change in Director(s),2025-2026,True,-0.03534546131381533,COMPANY has informed the Exchange regarding Change in Director(s) of the company.
ev_012,Disclosure under SEBI Takeover Regulations,2025-2026,True,-0.09742514631696242,"Hero MotoCorp Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
ev_013,Change in Director(s),2025-2026,True,0.02413247461741652,COMPANY has informed the Exchange regarding Change in Director(s) of the company.
ev_014,Disclosure under SEBI Takeover Regulations,2025-2026,True,0.10903234308106158,"COMPANY has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
ev_015,Disclosure under SEBI Takeover Regulations,2025-2026,True,0.02458957290979935,"Aura Securities Private Ltd has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
ev_016,Disclosure under SEBI Takeover Regulations,2025-2026,True,0.022357769563321916,"Jaikaran Chandock has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
ev_017,Change in Director(s),2025-2026,True,0.01382747862021283,COMPANY has informed the Exchange regarding Change in Director(s) of the company.
ev_018,Disclosure under SEBI Takeover Regulations,2025-2026,True,-0.03291648964452165,"COMPANY has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
ev_019,Disclosure under SEBI Takeover Regulations,2025-2026,True,0.01058991365160833,"Pastel Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
ev_020,Change in Director(s),2025-2026,True,0.004257123325052681,COMPANY Gas Limited has informed the Exchange regarding Change in Director(s) of the company.
ev_021,Disclosure under SEBI Takeover Regulations,2025-2026,True,-0.018519616224453417,"Welter Trading Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
ev_022,Change in Director(s),2025-2026,True,-0.09058391406637534,COMPANY has informed the Exchange regarding Change in Director(s) of the company.
ev_023,Disclosure under SEBI Takeover Regulations,2025-2026,True,-0.012073827582788077,"COMPANY has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
ev_024,Disclosure under SEBI Takeover Regulations,2025-2026,True,0.029943058628580488,"Manish Dhingra has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
ev_025,Disclosure under SEBI Takeover Regulations,2025-2026,True,0.006659231909566854,"COMPANY has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
ev_026,Disclosure under SEBI Takeover Regulations,2025-2026,True,0.05055561052052093,"STEL Holdings Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
ev_027,Statement of deviation(s) or variation(s) under Reg. 32,2025-2026,True,-0.021924276534707743,COMPANY has informed the Exchange about statement of deviation(s) or variation(s) under Reg. 32
ev_028,Change in Director(s),2025-2026,True,-0.08090637084358221,COMPANY has informed the Exchange regarding Change in Director(s) of the company.
ev_029,Disclosure under SEBI Takeover Regulations,2025-2026,True,-0.03129232279214844,"CA Harbor Investments and CA Hull Investments has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
ev_030,Change in Director(s),2025-2026,True,-0.027616558743377206,COMPANY has informed the Exchange regarding Change in Director(s) of the company.
ev_031,Disclosure under SEBI Takeover Regulations,2025-2026,True,0.03675197972178468,"Abhishek COMPANY has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
ev_032,Disclosure under SEBI Takeover Regulations,2025-2026,True,0.2745554473206555,"Manasi Iyer has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
ev_033,Disclosure under SEBI Takeover Regulations,2025-2026,True,-0.06089945969408561,"COMPANY has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
ev_034,Disclosure under SEBI Takeover Regulations,2025-2026,True,0.0013582801214448992,"COMPANY has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
ev_035,Disclosure under SEBI Takeover Regulations,2025-2026,True,0.01799613435521319,"Bhanu Chopra has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) and 31 (5) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
ev_036,Disclosure under SEBI Takeover Regulations,2025-2026,True,0.025311464175813203,"PERSON on behalf of Late PERSON has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
ev_037,Disclosure under SEBI Takeover Regulations,2025-2026,True,0.006450956506317107,"Sailesh C. Mehta has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
ev_038,Disclosure under SEBI Takeover Regulations,2025-2026,True,-0.018627769406299288,"NARENDRA JOHARIMAL GOLIYA has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
ev_039,Disclosure under SEBI Takeover Regulations,2025-2026,True,0.027243635234424746,"Ananmay Khemka has Submitted to the Exchange a copy of Disclosure under Regulation 10 (5) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
ev_040,Change in Director(s),2025-2026,True,0.0024368031824225644,COMPANY has informed the Exchange regarding Change in Director(s) of the company.
ev_041,Change in Director(s),2025-2026,True,0.049585322516788155,COMPANY has informed the Exchange regarding Change in Director(s) of the company.
ev_042,Change in Director(s),2025-2026,True,-0.02628416197965533,COMPANY has informed the Exchange regarding Change in Director(s) of the company.
ev_043,Disclosure under SEBI Takeover Regulations,2025-2026,True,0.07040914976063051,"COMPANY has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
ev_044,Statement of deviation(s) or variation(s) under Reg. 32,2025-2026,True,0.04787975447288706,COMPANY has informed the Exchange about statement of deviation(s) or variation(s) under Reg. 32
ev_045,Disclosure under SEBI Takeover Regulations,2025-2026,True,-0.00999770531059796,"ARVIND COMPANY has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
ev_046,Disclosure under SEBI Takeover Regulations,2025-2026,True,-0.01696396881618334,"Atul Ashokkumar Ruia has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
ev_047,Disclosure under SEBI Takeover Regulations,2025-2026,True,0.013642952040587408,"Devendra Khemka For & on behalf of Puja Poddar has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
ev_048,Disclosure under SEBI Takeover Regulations,2025-2026,True,0.08206141581995618,"Nadir COMPANY has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
ev_049,Change in Director(s),2025-2026,True,0.0005869049536362247,COMPANY has informed the Exchange regarding Change in Director(s) of the company.
ev_050,Disclosure under SEBI Takeover Regulations,2025-2026,True,-0.01454929213634304,"Castor Investments Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
ev_051,Disclosure under SEBI Takeover Regulations,2025-2026,True,0.17516787246489918,"COMPANY Capital Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
ev_052,Disclosure under SEBI Takeover Regulations,2025-2026,True,0.013125464761701622,"J.P. Morgan India Private Limited (Manager to the Open Offer) has submitted to the Exchange a copy of Pre-offer advertisement in accordance with Regulation 18(7) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011, as amended, and Corrigendum to the Detailed Public Statement for the attention of the Public Shareholders of COMPANY (Target Company)."
ev_053,Disclosure under SEBI Takeover Regulations,2025-2026,True,-0.02532856107268644,"COMPANY Industrial Investments And Holdings Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
ev_054,Disclosure under SEBI Takeover Regulations,2025-2026,True,-0.10226523533097531,"COMPANY has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
ev_055,Statement of deviation(s) or variation(s) under Reg. 32,2025-2026,True,0.10348681060132847,COMPANY has informed the Exchange about statement of deviation(s) or variation(s) under Reg. 32
ev_056,Statement of deviation(s) or variation(s) under Reg. 32,2025-2026,True,-0.0055239370952282485,COMPANY has informed the Exchange about statement of deviation(s) or variation(s) under Reg. 32
ev_057,Disclosure under SEBI Takeover Regulations,2025-2026,True,0.015899680658706616,"Sahdevsinh Lalubha Jadeja has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
ev_058,Disclosure under SEBI Takeover Regulations,2025-2026,True,0.10563327633753006,"GE Grid Alliance B.V. has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
ev_059,Disclosure under SEBI Takeover Regulations,2025-2026,True,-0.01836896885650452,"Hari Shanker Bharti Family Trust has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
ev_060,Disclosure under SEBI Takeover Regulations,2025-2026,True,0.09907374838952343,"COMPANY Khemka has Submitted to the Exchange a copy of Disclosure under Regulation 10 (5) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
ev_061,Disclosure under SEBI Takeover Regulations,2025-2026,True,0.05741387762600536,"Ashwini Kumar, Ministry of Steel, Government of India has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
ev_062,Statement of deviation(s) or variation(s) under Reg. 32,2025-2026,True,0.07654741482172844,COMPANY has informed the Exchange about statement of deviation(s) or variation(s) under Reg. 32
ev_063,Statement of deviation(s) or variation(s) under Reg. 32,2025-2026,True,0.05371568642453073,COMPANY has informed the Exchange about statement of deviation(s) or variation(s) under Reg. 32
ev_064,Disclosure under SEBI Takeover Regulations,2025-2026,True,-0.04411588223199403,"Hari Khemka Business Family Trust has submitted to the Exchange a copy of Disclosures under Regulation 10(6)-Report to stock Exchange in respect of any acquisition made in reliance upon exemption provided for in regulation 10 of SEBI (SAST) Regulations, 2011."
ev_065,Disclosure under SEBI Takeover Regulations,2025-2026,True,-0.04133260644710879,"Sandeep Kulharia, Government of India, Ministry of Housing and Urban Affairs has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
ev_066,Disclosure under SEBI Takeover Regulations,2025-2026,True,0.014715435805330745,"PCL FINANCIAL SERVICES PRIVATE LIMITED has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
ev_067,Change in Director(s),2025-2026,True,-0.08274101167910108,COMPANY has informed the Exchange regarding Change in Director(s) of the company.
ev_068,Disclosure under SEBI Takeover Regulations,2025-2026,True,-0.06516126521960608,"COMPANY has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
ev_069,Disclosure under SEBI Takeover Regulations,2025-2026,True,0.014715435805330745,"ARUNACHALA LOGISTICS PRIVATE LIMITED has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
ev_070,Disclosure under SEBI Takeover Regulations,2025-2026,True,-0.03234058444484944,"Sanjay Lodha has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
